STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
ASSAM,2002,Educational Standard - Holding technical degree/diploma etc,4,0,4,10,0,10,0,0,0,0,0,0,14,0,14
ASSAM,2003,Educational Standard,3008,72,3080,4386,137,4523,29,2,31,3,0,3,7426,211,7637
ASSAM,2003,Educational Standard - Illiterate,1143,38,1181,1795,61,1856,0,0,0,3,0,3,2941,99,3040
ASSAM,2003,Educational Standard - Below Class X,1369,30,1399,1536,51,1587,4,0,4,0,0,0,2909,81,2990
ASSAM,2003,Educational Standard - Class X and above but below graduate,455,4,459,910,17,927,21,2,23,0,0,0,1386,23,1409
ASSAM,2003,Educational Standard - Graduate,32,0,32,141,6,147,4,0,4,0,0,0,177,6,183
ASSAM,2003,Educational Standard - Post-Graduate,3,0,3,0,1,1,0,0,0,0,0,0,3,1,4
ASSAM,2003,Educational Standard - Holding technical degree/diploma etc,6,0,6,4,1,5,0,0,0,0,0,0,10,1,11
ASSAM,2004,Educational Standard,3191,77,3268,4164,134,4298,215,40,255,7,0,7,7577,251,7828
ASSAM,2004,Educational Standard - Illiterate,1099,32,1131,1534,66,1600,3,1,4,2,0,2,2638,99,2737
ASSAM,2004,Educational Standard - Below Class X,1704,39,1743,1645,44,1689,60,7,67,3,0,3,3412,90,3502
ASSAM,2004,Educational Standard - Class X and above but below graduate,331,6,337,851,21,872,123,26,149,1,0,1,1306,53,1359
ASSAM,2004,Educational Standard - Graduate,42,0,42,132,3,135,29,6,35,1,0,1,204,9,213
ASSAM,2004,Educational Standard - Post-Graduate,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4
ASSAM,2004,Educational Standard - Holding technical degree/diploma etc,11,0,11,2,0,2,0,0,0,0,0,0,13,0,13
ASSAM,2005,Educational Standard,3397,78,3475,4867,133,5000,31,3,34,4,0,4,8299,214,8513
ASSAM,2005,Educational Standard - Illiterate,1130,37,1167,1876,65,1941,0,0,0,3,0,3,3009,102,3111
ASSAM,2005,Educational Standard - Below Class X,1672,36,1708,2017,60,2077,12,0,12,0,0,0,3701,96,3797
ASSAM,2005,Educational Standard - Class X and above but below graduate,549,5,554,898,7,905,16,3,19,1,0,1,1464,15,1479
ASSAM,2005,Educational Standard - Graduate,34,0,34,61,1,62,3,0,3,0,0,0,98,1,99
ASSAM,2005,Educational Standard - Post-Graduate,3,0,3,3,0,3,0,0,0,0,0,0,6,0,6
ASSAM,2005,Educational Standard - Holding technical degree/diploma etc,9,0,9,12,0,12,0,0,0,0,0,0,21,0,21
ASSAM,2006,Educational Standard,3465,84,3549,4801,159,4960,27,0,27,2,0,2,8295,243,8538
ASSAM,2006,Educational Standard - Illiterate,900,31,931,1558,70,1628,2,0,2,1,0,1,2461,101,2562
ASSAM,2006,Educational Standard - Below Class X,1956,45,2001,2174,69,2243,5,0,5,0,0,0,4135,114,4249
ASSAM,2006,Educational Standard - Class X and above but below graduate,559,8,567,950,16,966,17,0,17,1,0,1,1527,24,1551
ASSAM,2006,Educational Standard - Graduate,39,0,39,112,3,115,3,0,3,0,0,0,154,3,157
ASSAM,2006,Educational Standard - Post-Graduate,6,0,6,2,1,3,0,0,0,0,0,0,8,1,9
ASSAM,2006,Educational Standard - Holding technical degree/diploma etc,5,0,5,5,0,5,0,0,0,0,0,0,10,0,10
ASSAM,2007,Educational Standard,3480,100,3580,4944,146,5090,30,5,35,0,0,0,8454,251,8705
ASSAM,2007,Educational Standard - Illiterate,816,31,847,1802,67,1869,5,1,6,0,0,0,2623,99,2722
ASSAM,2007,Educational Standard - Below Class X,2165,59,2224,2027,51,2078,7,2,9,0,0,0,4199,112,4311
ASSAM,2007,Educational Standard - Class X and above but below graduate,444,9,453,987,27,1014,18,2,20,0,0,0,1449,38,1487
ASSAM,2007,Educational Standard - Graduate,43,1,44,96,1,97,0,0,0,0,0,0,139,2,141
ASSAM,2007,Educational Standard - Post-Graduate,3,0,3,11,0,11,0,0,0,0,0,0,14,0,14
ASSAM,2007,Educational Standard - Holding technical degree/diploma etc,9,0,9,21,0,21,0,0,0,0,0,0,30,0,30
ASSAM,2008,Educational Standard,3396,98,3494,5023,215,5238,10,0,10,0,0,0,8429,313,8742
ASSAM,2008,Educational Standard - Illiterate,930,26,956,1805,82,1887,3,0,3,0,0,0,2738,108,2846
ASSAM,2008,Educational Standard - Below Class X,1905,49,1954,2406,95,2501,4,0,4,0,0,0,4315,144,4459
ASSAM,2008,Educational Standard - Class X and above but below graduate,505,21,526,720,35,755,2,0,2,0,0,0,1227,56,1283
ASSAM,2008,Educational Standard - Graduate,45,2,47,75,3,78,1,0,1,0,0,0,121,5,126
ASSAM,2008,Educational Standard - Post-Graduate,5,0,5,9,0,9,0,0,0,0,0,0,14,0,14
ASSAM,2008,Educational Standard - Holding technical degree/diploma etc,6,0,6,8,0,8,0,0,0,0,0,0,14,0,14
